reference;name;family;price;category;description;disponibility;image;quantity;selled;sous_category;reste
2150005;VIN ROUGE MERLOT CADIOT DE MOUR 750ML;21;8 200,00;Boissons;;Oui;VIN ROUGE MERLOT CADIOT DE MOUR 750ML.avif;100;0;Vins;100
2150010;VIN BLANC BORDEAU CARILLONADE 750ML;21;5 000,00;Boissons;;Oui;VIN BLANC BORDEAU CARILLONADE 750ML.avif;100;0;Vins;100
2150011;CIDRE DE CARACTERE TRADITIONNEL LOIC RAISON 75CL;21;2 950,00;Boissons;;Oui;CIDRE DE CARACTERE TRADITIONNEL LOIC RAISON 75CL.avif;100;0;Vins;100
21501;VIN ROUGE MERLOT CABERNET SAUVIGNON BORDEAU 2015  CALVET 75 CL;21;5 500,00;Boissons;;Oui;VIN ROUGE MERLOT CABERNET SAUVIGNON BORDEAU 2015 CALVET 75 CL.avif;100;0;Vins;100
2150100;VIN MOUSSEUX PROSECO PERLINO 75CL;21;13 000,00;Boissons;;Oui;VIN MOUSSEUX PROSECO PERLINO 75CL.avif;100;0;Vins;100
21501111;VIN ROUGE JOUNEE SPECIAL 750ML;21;2 450,00;Boissons;;Oui;VIN ROUGE JOUNEE SPECIAL 750ML.avif;100;0;Vins;100
2150117;VIN BLANC MUSCAT LOUIS ESCHENAEUR 2021 75CL;21;5 000,00;Boissons;;Oui;VIN BLANC MUSCAT LOUIS ESCHENAEUR 2021 75CL.avif;100;0;Vins;100
215013;VIN ROUGE LUSSAC SAINT EMILION AUGUSTIN FLORENT 75CL;21;8 200,00;Boissons;;Oui;VIN ROUGE LUSSAC SAINT EMILION AUGUSTIN FLORENT 75CL.avif;100;0;Vins;100
2150177;VIN ROUGE BORDEAU CHATEAU DU PIERRE 2017 75CL;21;3 900,00;Boissons;;Oui;VIN ROUGE BORDEAU CHATEAU DU PIERRE 2017 75CL.avif;100;0;Vins;100
21502;VIN ROUGE MEDOC LOUIS ESCHENAUER  2013;21;7 000,00;Boissons;;Oui;VIN ROUGE MEDOC LOUIS ESCHENAUER  2013.avif;100;0;Vins;100
21503;VIN ROUGE SAINT EMILION LOUIS ESCHENAUER 2012;21;9 000,00;Boissons;;Oui;VIN ROUGE SAINT EMILION LOUIS ESCHENAUER 2012.avif;100;0;Vins;100
21508;VIN ROUGE SANGRIA BONITA 1 L;21;2 400,00;Boissons;;Oui;VIN ROUGE SANGRIA BONITA 1 L.avif;100;0;Vins;100
2151000;VIN ROUGE MOELLEUX MONTMERAC 75CL;21;2 000,00;Boissons;;Oui;VIN ROUGE MOELLEUX MONTMERAC 75CL.avif;100;0;Vins;100
2151009;CREMENT DE BORDEAUX DEMI SEC CALVET 2022 75CL;21;7 800,00;Boissons;;Oui;CREMENT DE BORDEAUX DEMI SEC CALVET 2022 75CL.avif;100;0;Vins;100
2151019;VIN ROUGE FIN BOUQUET 75CL;21;2 400,00;Boissons;;Oui;VIN ROUGE FIN BOUQUET 75CL.avif;100;0;Vins;100
215123;VIN ROUGE CUVE SPECIAL MAMMA MIA SPAIN;21;2 400,00;Boissons;;Oui;VIN ROUGE CUVE SPECIAL MAMMA MIA SPAIN.avif;100;0;Vins;100
215124;VIN ROUGE CHATEAU CANTIN SAINT EMILION GRAND CRU 2013 75CL;21;16 400,00;Boissons;;Oui;VIN ROUGE CHATEAU CANTIN SAINT EMILION GRAND CRU 2013 75CL.avif;100;0;Vins;100
215141;VIN BLANC MOSCATEL CARILLONADE 750ML;21;5 000,00;Boissons;;Oui;VIN BLANC MOSCATEL CARILLONADE 750ML.avif;100;0;Vins;100
21520;VIN ROUGE CHATEAU D'HAUTEFEUILLE BORDEAUX 75CL;21;4 500,00;Boissons;;Oui;VIN ROUGE CHATEAU D'HAUTEFEUILLE BORDEAUX 75CL.avif;100;0;Vins;100
215211;VIN ROUGE SEC MONTMERAC 75CL;21;2 000,00;Boissons;;Oui;VIN ROUGE SEC MONTMERAC 75CL.avif;100;0;Vins;100
21526;VIN ROUGE RESERVE MOUTON CADET MEDOC 75CL;21;14 000,00;Boissons;;Oui;VIN ROUGE RESERVE MOUTON CADET MEDOC 75CL.avif;100;0;Vins;100
21531;VIN ROUGE CHATEAU LONDRE BORDEAUX  2014 75CL;21;5 200,00;Boissons;;Oui;VIN ROUGE CHATEAU LONDRE BORDEAUX  2014 75CL.avif;100;0;Vins;100
215367;VIN ROUGE MERLOT PAYS D'OC BY HAUSSMANN 750ML;21;4 250,00;Boissons;;Oui;VIN ROUGE MERLOT PAYS D'OC BY HAUSSMANN 750ML.avif;100;0;Vins;100
21540;VIN SAUVIGNON BLANC FLEUR DE CAP 2014;21;12 980,00;Boissons;;Oui;VIN SAUVIGNON BLANC FLEUR DE CAP 2014.avif;100;0;Vins;100
215400;VIN ROUGE CHATEAU BELLE VUE D'ESTUAIRE 750ML;21;4 900,00;Boissons;;Oui;VIN ROUGE CHATEAU BELLE VUE D'ESTUAIRE 750ML.avif;100;0;Vins;100
2154000;VIN SS ALCOOL MERLOT LES VOILES 75CL;21;5 200,00;Boissons;;Oui;vin sans alcool les voiles.avif;100;0;Vins;100
21540001;VIN SS ALCOOL SAUVIGNON BLANC LES VOILES 75CL;21;5 200,00;Boissons;;Oui;VIN SS ALCOOL SAUVIGNON BLANC LES VOILES 75CL.avif;100;0;Vins;100
215401;VIN ROUGE BORDEAU CHATEAU FERRANDE GRAVES 2015 37.5CL;21;7 560,00;Boissons;;Oui;VIN ROUGE BORDEAU CHATEAU FERRANDE GRAVES 2015 37.5CL.avif;100;0;Vins;100
21540111;VIN ROUGE HAUT LE MEDOC CALVET 2016;21;9 000,00;Boissons;;Oui;VIN ROUGE HAUT LE MEDOC CALVET 2016.avif;100;0;Vins;100
21540A;VIN BLANC DOMAINE DE LA BAUME VIOGNIER 750ML;21;6 850,00;Boissons;;Oui;VIN BLANC DOMAINE DE LA BAUME VIOGNIER 750ML.avif;100;0;Vins;100
2154122;CREMENT DALSACE CHARDONNAY BRUT + SAC 75CL;21;17 500,00;Boissons;;Oui;CREMENT DALSACE CHARDONNAY BRUT + SAC 7CL.avif;100;0;Vins;100
215456;VIN ROUGE RECOLTANT CHATEAU DES LEOTINS 75CL;21;8 400,00;Boissons;;Oui;VIN ROUGE RECOLTANT CHATEAU DES LEOTINS 75CL.avif;100;0;Vins;100
215470;VIN MOUSSEUX DEMI SEC DUC DE CHARMEUIL 75CL;21;3 100,00;Boissons;;Oui;VIN MOUSSEUX DEMI SEC DUC DE CHARMEUIL 75CL.avif;100;0;Vins;100
215479;VIN BORDEAUX SUPERIEURE BARON EUGENE HAUSSMANN 2018 75CL;21;7 000,00;Boissons;;Oui;VIN BORDEAUX SUPERIEURE BARON EUGENE HAUSSMANN 2018 75CL.avif;100;0;Vins;100
21548;VIN ROUGE GRAND VERSANT;21;4 100,00;Boissons;;Oui;VIN ROUGE GRAND VERSANT.avif;100;0;Vins;100
215491;VIN ROUGE MERLOT LA FRANCETTE 75CL;21;4 500,00;Boissons;;Oui;VIN ROUGE MERLOT LA FRANCETTE 75CL.avif;100;0;Vins;100
215510B;VIN BLANC COTES DU RHONE CHEMIN DU PAPES 2017 75CL;21;6 000,00;Boissons;;Oui;VIN BLANC COTES DU RHONE CHEMIN DU PAPES 2017 75CL.avif;100;0;Vins;100
21557258;VIN  BLANC GEWURZTRAMINER 37.5CL DEMI SEC 2021;21;5 500,00;Boissons;;Oui;VIN  BLANC GEWURZTRAMINER 37.5CL DEMI SEC 2021.avif;100;0;Vins;100
21563365;VINROUGE ZOULOU TENTATION CHENI AF.SUD  2018  12%  75CL;21;4 950,00;Boissons;;Oui;VINROUGE ZOULOU TENTATION CHENI AF.SUD  2018  12_  75CL.avif;100;0;Vins;100
215634;VIN ROUGE BARON DE BRUN 75CL;21;4 500,00;Boissons;;Oui;VIN ROUGE BARON DE BRUN 75CL.avif;100;0;Vins;100
215681;VIN BLANC JOURNEE SPECIALE 750ML;21;2 450,00;Boissons;;Oui;VIN BLANC JOURNEE SPECIALE 750ML.avif;100;0;Vins;100
21568947;VIN ROUGE CABERNET SAUVIGNON BY HAUSSMANN;21;4 250,00;Boissons;;Oui;VIN ROUGE CABERNET SAUVIGNON BY HAUSSMANN.avif;100;0;Vins;100
215698;VIN ROUGE CHATEAU ROUGIER 75CL;21;10 400,00;Boissons;;Oui;VIN ROUGE CHATEAU ROUGIER 75CL.avif;100;0;Vins;100
215700;VIN MOUSSEUX SHAKE MUSCADOR 75CL;21;3 300,00;Boissons;;Oui;VIN MOUSSEUX SHAKE MUSCADOR 75CL.avif;100;0;Vins;100
2157010;VIN BLANC BARON EUGENE HAUSSMAN 2022 750ML;21;6 950,00;Boissons;;Oui;VIN BLANC BARON EUGENE HAUSSMAN 2022 750ML.avif;100;0;Vins;100
2157099;VIN ROUGE GRAVES CALVET 750ML;21;7 000,00;Boissons;;Oui;VIN ROUGE GRAVES CALVET 750ML.avif;100;0;Vins;100
215740;VIN ROUGE CHATEAU TOUR VERITE BORDEAU 75 CL;21;4 800,00;Boissons;;Oui;VIN ROUGE CHATEAU TOUR VERITE BORDEAU 75 CL.avif;100;0;Vins;100
2157401;VIN ROUGE BORDEAU BARON VINCENT 2018 750ML;21;4 000,00;Boissons;;Oui;VIN ROUGE BORDEAU BARON VINCENT 2018 750ML.avif;100;0;Vins;100
215748;VIN HOMMAGE BIO CAZES COTES DU ROUSSILLON 750ML;21;9 800,00;Boissons;;Oui;VIN HOMMAGE BIO CAZES COTES DU ROUSSILLON 750ML.avif;100;0;Vins;100
21575;VIN MOUSSEUX CUVEE THE GOLD COLLECTION 0.75L;21;16 500,00;Boissons;;Oui;VIN MOUSSEUX CUVEE THE GOLD COLLECTION 0.75L.avif;100;0;Vins;100
2157800;VIN ROUGE COMTE ALBERT 75CL;21;6 140,00;Boissons;;Oui;COMTE ALBERT.avif;100;0;Vins;100
215800;VIN BLANC MOELLEUX LA CHRETIENNE DE LUZ & FILS VDP 750ML;21;4 150,00;Boissons;;Oui;VIN BLANC MOELLEUX LA CHRETIENNE DE LUZ & FILS VDP 750ML.avif;100;0;Vins;100
21580001;VIN BLANC SEC HORIZON GASCOGNE U 75CL;21;4 650,00;Boissons;;Oui;VIN BLANC SEC HORIZON GASCIGNE U 75CL.avif;100;0;Vins;100
215808;VIN BLANC CHARDONNAY BY HAUSSMANN 750ML;21;4 500,00;Boissons;;Oui;VIN BLANC CHARDONNAY BY HAUSSMANN 750ML.avif;100;0;Vins;100
215840;VIN BLANC FIN BOUQUET 75CL;21;2 200,00;Boissons;;Oui;VIN BLANC FIN BOUQUET 75CL.avif;100;0;Vins;100
2158403;VIN ROSE CABERNET D'ANJOU VAL DE LOIRE 2020  BELLE FRANCE 75CL;21;7 100,00;Boissons;;Oui;VIN ROSE CABERNET D'ANJOU VAL DE LOIRE 2020  BELLE FRANCE 75CL.avif;100;0;Vins;100
21587001;VIN ROUGE CHATEAU FLEUR HAUT GAUSSENS BORDEAU 2015/2017 750ML;21;5 500,00;Boissons;;Oui;VIN ROUGE CHATEAU FLEUR HAUT GAUSSENS BORDEAU 2015 750ML.avif;100;0;Vins;100
215890;VIN ROSE LAUTUS 750ML;21;9 800,00;Boissons;;Oui;VIN ROSE LAUTUS 750ML.avif;100;0;Vins;100
2158901;VIN BLANC CHARDONNAY BALANCE 750ML;21;6 500,00;Boissons;;Oui;2021 EHRA.avif;100;0;Vins;100
2158902;VIN ROUGE CABERNET SAUVIGNON MENSA 2020 750ML;21;8 500,00;Boissons;;Oui;VIN ROUGE CABERNET SAUVIGNON MENSA 2020 750ML.avif;100;0;Vins;100
2158951;VIN PROSECCO D.O.C. VINO SPUMANTE ROSE 0.75L;21;13 500,00;Boissons;;Oui;VIN PROSECCO D.O.C. VINO SPUMANTE ROSE 0.75L.avif;100;0;Vins;100
21590;CREMENT D'ALSACE ARTHUR METZ 75CL MILLESIME 2015;21;8 500,00;Boissons;;Oui;CREMENT D'ALSACE ARTHUR METZ 75CL MILLESIME 2015.avif;100;0;Vins;100
21591;VIN ROUGE MEDIUM  SWEET JP CHENET 750ML;21;4 500,00;Boissons;;Oui;VIN ROUGE MEDIUM  SWEET JP CHENET 750ML.avif;100;0;Vins;100
2159656;VIN ROUGE ROC DE BESSANT 13% 750ML;21;5 850,00;Boissons;;Oui;VIN ROUGE ROC DE BESSANT 13_ 750ML.avif;100;0;Vins;100
21599;VIN MOUSSEUX ROSE JPCHENET ICE EDITION 750ML;21;4 800,00;Boissons;;Oui;VIN MOUSSEUX ROSE JPCHENET ICE EDITION 750ML.avif;100;0;Vins;100
21605;VIN BLANC MOELLEUX MEDIUM SWEET  BORD CONVERSAT CALVET CLASSIQUE 75CL;21;5 500,00;Boissons;;Oui;VIN BLANC MOELLEUX MEDIUM SWEET  BORD CONVERSAT CALVET CLASSIQUE 75CL.avif;100;0;Vins;100
2160512;VIN ROUGE MARQUES DEL SOL 75CL;21;3 200,00;Boissons;;Oui;VIN ROUGE MARQUES DEL SOL 75CL.avif;100;0;Vins;100
21608;VIN BLANC DOMAINE DE LA BAUME LES VIGNES DE MADAME CHARDONAY 2014;21;6 850,00;Boissons;;Oui;VIN BLANC DOMAINE DE LA BAUME LES VIGNES DE MADAME CHARDONAY 2014.avif;100;0;Vins;100
21610;VIN ROUGE DON SIMON SANGRIA CARTON 1L;21;1 500,00;Boissons;;Oui;VIN ROUGE DON SIMON SANGRIA CARTON 1L.avif;100;0;Vins;100
21621;VIN ROUGE CHATEAU LES ACACIAS BORDEAUX 2014 75CL;21;4 800,00;Boissons;;Oui;VIN ROUGE CHATEAU LES ACACIAS BORDEAUX 2014 75CL.avif;100;0;Vins;100
21625;VIN ROUGE CHATEAU GRAND DESIR 2014;21;5 500,00;Boissons;;Oui;VIN ROUGE CHATEAU GRAND DESIR 2014.avif;100;0;Vins;100
216271;VIN ROUGE CHATEAU MEZAIN BORDEAU 75CL;21;5 500,00;Boissons;;Oui;VIN ROUGE CHATEAU MEZAIN BORDEAU 75CL.avif;100;0;Vins;100
21630;VIN MOUSSEUX KIR ROYAL 75CL;21;14 500,00;Boissons;;Oui;VIN MOUSSEUX KIR ROYAL 75CL.avif;100;0;Vins;100
21640;VIN MOUSSEUX  BLANC ICE EDITION JP CHENET 750ML;21;4 800,00;Boissons;;Oui;VIN MOUSSEUX  BLANC ICE EDITION JP CHENET 750ML.avif;100;0;Vins;100
21644;VIN ROUGE BEAUJOLAIS GEORGES DU BOEUF 75CL;21;5 700,00;Boissons;;Oui;VIN ROUGE BEAUJOLAIS GEORGES DU BOEUF 75CL.avif;100;0;Vins;100
216452;VIN BLANC PREMIER GRAND CRU DROSTDY HOF 750ML;21;3 500,00;Boissons;;Oui;VIN BLANC PREMIER GRAND CRU DROSTDY HOF 750ML.avif;100;0;Vins;100
21648;VIN BLANC SANS ACOOL BONNE NOUVELLE 750ML;21;4 700,00;Boissons;;Oui;VIN BLANC SANS ACOOL BONNE NOUVELLE 750ML.avif;100;0;Vins;100
216489;VIN ROSE BALANCE 2021 750ML;21;5 500,00;Boissons;;Oui;VIN ROSE BALANCE 2021 750ML.avif;100;0;Vins;100
